Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
irvinky01,Guard,35,34:48:00,8.7,18.9,0.461,2.3,5.7,0.405,3.9,4.3,0.895,0.9,2.6,3.5,5.6,1.1,0.1,2.7,1.9,23.6,16.8,4.8,Selected
derozde01,Guard,42,35:27:00,10.2,21.5,0.475,0.3,1.4,0.241,7.5,8.8,0.848,1,4.4,5.4,3.9,1.2,0.2,2.4,1.9,28.2,19.7,3.4,Selected
jamesle01,Point-Forward,37,37:02:00,9.4,18.4,0.512,1.8,4.8,0.375,5,7.1,0.703,1.4,6.3,7.7,8.1,1.5,0.5,4.1,1.6,25.6,21.3,7.6,Selected
antetgi01,Point-Forward,40,34:44:00,8.6,16.1,0.537,0.7,2.4,0.284,5.7,7.2,0.783,1.9,6.8,8.7,5.6,1.8,2.1,3,3.4,23.6,21.4,2.4,Selected
butleji01,Forward,41,36:49:00,7.6,16.9,0.452,1.2,3.5,0.345,8.4,9.7,0.866,1.7,5.1,6.8,4.8,1.7,0.3,2.1,1.7,24.8,20.8,2.8,Selected
curryst01,Guard,42,33:34:00,8.2,17.5,0.465,3.8,9.5,0.397,4.5,4.9,0.926,0.6,3.6,4.2,6.1,1.8,0.2,3,2.3,24.6,19.2,12.6,Selected
hardeja01,Guard,45,36:35:00,8.4,19,0.443,3.1,9,0.347,8.9,10.4,0.853,1.3,7,8.3,11.6,1.4,0.4,5.7,2.5,28.9,24.4,6.5,Selected
duranke01,Forward,42,34:23:00,9.2,17,0.544,2,5,0.405,5.7,6.6,0.863,0.6,8,8.6,4.7,1.1,1.7,2.3,2,26.2,23,11.4,Selected
leonaka01,Forward,39,33:14:00,8.2,16.7,0.488,2.1,4.9,0.415,6.5,7.2,0.907,1.2,4.5,5.7,3.1,1.9,0.7,1.8,1.6,24.8,20.4,6,Selected
davisan02,Forward,40,36:34:00,10.4,20.8,0.501,0.5,1.8,0.3,7.4,9.3,0.796,2.4,9.7,12.1,2.2,1.3,2.4,2.5,2.3,28.8,23.3,-0.2,Selected
