Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
walljo01,Guard,43,36:23:00,8.5,18.3,0.464,1.1,3.4,0.317,5,6.1,0.824,0.9,3.6,4.5,10.1,2.2,0.5,4.2,2,23.1,19.5,3.3,Selected
thomais02,Guard,41,34:19:00,9.2,19.9,0.462,3,8,0.38,7.7,8.5,0.908,0.7,2.1,2.8,6.2,0.8,0.1,2.5,2.1,29.1,21.5,1.7,Selected
lowryky01,Guard,45,37:20:00,7.1,15.1,0.469,3.2,7.5,0.422,5.1,6.1,0.83,0.9,3.9,4.8,6.9,1.6,0.4,2.9,2.9,22.4,18.8,6.3,Selected
walkeke02,Guard,45,33:50:00,8.2,18,0.457,2.8,6.9,0.411,3.8,4.6,0.827,0.6,3.4,4,5.5,1.2,0.2,2.3,1.6,23,17.2,3.8,Selected
georgpa01,Forward,37,35:25:00,7.7,17.1,0.45,2.4,6.1,0.387,4.4,4.8,0.926,0.8,5.2,6,3.2,1.7,0.3,2.8,2.6,22.2,15.5,1.4,Selected
loveke01,Forward,39,32:02:00,6.6,15.3,0.429,2.6,6.9,0.376,4.8,5.5,0.869,2.6,8.4,11,1.9,0.8,0.3,2.1,1.9,20.5,16,7.4,Selected
millspa01,Forward,43,34:00:00,6.4,14.4,0.444,1.2,3.6,0.335,3.9,5.2,0.75,1.7,6.4,8.1,3.8,1.5,1,2.3,2.6,18,14.6,4,Selected
westbru01,Guard,46,34:40:00,10,23.7,0.419,2.1,6.3,0.33,8.7,10.6,0.822,1.8,8.8,10.6,10.4,1.6,0.3,5.6,2.4,30.7,23.8,3.8,Selected
thompkl01,Guard,45,34:16:00,8,17,0.467,3.1,7.8,0.396,2.1,2.5,0.847,0.6,3.2,3.8,1.9,0.8,0.5,1.8,1.9,21.1,13.5,11.6,Selected
haywago01,Point-Forward,40,34:51:00,7,15.2,0.457,2,5,0.399,5.9,6.8,0.874,0.6,5.2,5.8,3.4,1,0.3,2,1.7,21.8,16.4,3.6,Selected
couside01,Center,44,34:35:00,9.4,20.8,0.449,1.7,4.7,0.365,7.5,9.7,0.773,2,8.2,10.2,4.4,1.5,1.4,3.4,3.6,28,20.8,0,Selected
jordade01,Center,47,32:01:00,4.9,7.1,0.69,0,0,0,2.7,5.3,0.514,3.7,10.3,14,1.1,0.6,1.8,1.5,2.7,12.5,14.1,4.8,Selected
gasolma01,Center,45,34:17:00,7.5,16.2,0.464,1.4,3.6,0.395,4.1,5,0.825,0.8,5.3,6.1,4.2,1,1.4,2.1,2.2,20.6,16,1.1,Selected
greendr01,Point-Forward,44,33:21:00,3.8,8.6,0.448,1.1,3.3,0.322,1.9,2.9,0.667,1.6,6.9,8.5,7.5,1.9,1.4,2.3,3,10.7,13.7,11,Selected
bookede01,Guard,44,34:31:00,7.4,17.6,0.422,1.9,5.1,0.373,3.9,4.6,0.837,0.5,2.2,2.7,3.1,0.9,0.2,2.8,3.2,20.6,11.2,-2.5,Not selected
gordoaa01,Forward,47,27:45:00,4.5,10.3,0.438,1.1,3.6,0.304,1.4,2.3,0.618,1.3,3.4,4.7,2,0.8,0.4,1.1,2.1,11.6,8.3,-2.5,Not selected
knighbr03,Guard,42,21:53,4,10.3,0.394,0.9,2.6,0.349,2.9,3.4,0.858,0.5,1.9,2.4,2.4,0.6,0,1.7,1.8,11.9,7,-6.2,Not selected
ginobma01,Guard,38,19:10,2.6,6.8,0.376,1.4,3.5,0.394,1.6,1.8,0.868,0.4,2.1,2.5,2.5,1.2,0.3,1.4,1.7,8,6.2,4.3,Not selected
smithjr01,Guard,21,28:55:00,3,8.8,0.337,2.4,6.6,0.362,0.3,0.4,0.778,0.4,1.8,2.2,1.2,1.2,0.4,0.7,2.2,8.6,5.2,5.2,Not selected
fournev01,Guard,36,33:01:00,6.1,13.7,0.443,1.7,4.8,0.358,3.2,3.8,0.826,0.6,2.5,3.1,3.3,1,0.1,2.1,2.7,17,11,-2.5,Not selected
zelleco01,Center,38,26:54:00,4.2,7.2,0.59,0,0,,2.4,3.5,0.689,2.3,4.2,6.5,1.4,0.7,1.1,1.2,3.2,10.9,10,4.7,Not selected
plumlma01,Center,47,27:54:00,4.4,8.3,0.534,0,0.1,0,2.2,4.1,0.55,2,5.7,7.7,4.2,0.9,1.2,1.6,2.7,11,11.5,0.1,Not selected
matthwe02,Guard,43,35:24:00,5.1,12.9,0.394,2.9,7.5,0.386,1.9,2.4,0.798,0.2,3,3.2,2.2,1.2,0.2,1.4,2.1,15,9.5,-3.9,Not selected
biyombi01,Center,46,24:28:00,2.3,4.5,0.524,0,0,,1.6,3.2,0.49,2.1,5.6,7.7,1,0.3,1.3,1.3,2.3,6.3,6.3,-3.7,Not selected
bazemke01,Forward,44,27:07:00,4,10.2,0.388,1.2,3.7,0.317,1.6,2.3,0.71,0.6,2.6,3.2,2.7,1.3,0.6,1.6,2.3,10.8,7.1,-1.4,Not selected
anderry01,Forward,46,30:22:00,4.6,10.7,0.427,2.7,6.7,0.405,1.9,2.1,0.896,1.6,3.4,5,0.9,0.5,0.2,0.9,2,13.7,9.8,5.5,Not selected
kanteen01,Center,46,21:51,5.7,10.2,0.564,0.1,0.7,0.161,3,3.8,0.795,2.6,4.1,6.7,1,0.4,0.7,1.6,2.2,14.6,11.7,1,Not selected
farieke01,Forward,40,22:07,3.6,6.6,0.557,0,0.1,0,2.2,3.2,0.688,3,4.8,7.8,0.9,0.7,0.8,1,2.1,9.5,9.6,-1.6,Not selected
johnsam01,Forward,44,19:55,2.5,4.6,0.537,0.3,0.8,0.353,1,1.4,0.694,1.7,2.9,4.6,1.8,0.6,0.7,0.9,2.7,6.2,6.1,0.9,Not selected
hoodro01,Guard,37,29:18:00,5.2,12.5,0.418,2.1,5.8,0.357,1.5,2,0.747,0.3,3.4,3.7,2,0.6,0.2,1.2,2.3,14,8.3,4.6,Not selected
noelne01,Center,18,17:01,3.3,5.6,0.6,0,0,,1.5,2,0.75,1.6,3.2,4.8,0.7,1.1,0.8,0.9,2.1,8.2,7.9,-4.2,Not selected
bogutan01,Center,23,23:26,1.4,3.1,0.458,0,0,0,0.1,0.5,0.273,2.3,6.7,9,2,0.5,1,1.7,3.2,3,4.5,-0.8,Not selected
lopezro01,Center,47,28:15:00,4.2,8.7,0.483,0,0,0,0.8,1.2,0.655,3.4,3.6,7,0.8,0.2,1.7,1.1,1.9,9.2,8.2,-0.5,Not selected
arizatr01,Forward,49,34:36:00,4.4,10.3,0.428,2.7,7.2,0.374,0.9,1.3,0.698,0.7,4.6,5.3,2.2,1.9,0.3,0.9,1.7,12.4,10.7,5.2,Not selected
gayru01,Forward,30,33:45:00,6.7,14.7,0.455,1.4,3.8,0.372,3.9,4.6,0.855,1.2,5.2,6.4,2.8,1.5,0.9,2.5,2.6,18.7,13.7,2.3,Not selected
capelca01,Center,34,23:06,5.2,8.4,0.623,0,0,,1.1,2.4,0.457,2.4,5.3,7.7,0.9,0.4,1.5,1.2,2.6,11.5,10.3,0.2,Not selected
jokicni01,Center,40,25:49:00,6.1,10.2,0.597,0.5,1.6,0.333,2.4,3,0.817,2.7,5.7,8.4,3.9,0.8,0.8,1.9,3.1,15.2,14.7,2.4,Not selected
harrito02,Forward,46,32:53:00,6.5,13.4,0.484,1.4,4.2,0.346,2.3,2.6,0.89,0.5,4.6,5.1,1.8,0.7,0.5,1.3,1.7,16.7,11.8,-1.4,Not selected
mahinia01,Center,1,14:05,0,1,0,0,0,,1,2,0.5,0,1,1,0,1,1,2,3,1,-1.3,-11,Not selected
vucevni01,Center,44,28:04:00,6.2,13.1,0.473,0.2,0.9,0.275,1.1,1.8,0.633,2.2,7.5,9.7,2.8,0.9,1,1.6,2.3,13.8,11.6,-1.6,Not selected
oladivi01,Guard,37,33:48:00,6.3,13.8,0.456,2.1,5.6,0.378,1.5,2.1,0.684,0.6,3.6,4.2,2.6,1.1,0.3,1.6,2.2,16.2,10.9,2.8,Not selected
carrode01,Forward,41,26:08:00,3.4,8.2,0.412,1.7,4.7,0.361,1.3,1.7,0.794,0.9,2.8,3.7,0.8,1.2,0.4,0.6,2,9.8,7.4,2,Not selected
bradlav01,Guard,36,34:55:00,7.1,15,0.475,2.1,5.2,0.409,1.3,1.8,0.762,1.1,5.8,6.9,2.4,1.3,0.2,1.8,2.7,17.7,12.7,0.1,Not selected
rubiori01,Guard,39,31:39:00,2.3,6.2,0.375,0.6,2.3,0.25,2.7,3.1,0.875,1.1,2.8,3.9,8.1,1.8,0.1,2.2,2.5,7.9,10.2,-0.8,Not selected
korveky01,Guard,40,27:25:00,3.3,7.6,0.437,2,5,0.412,0.6,0.7,0.889,0.1,2.8,2.9,2,0.7,0.4,1.1,1.4,9.2,6.8,-4,Not selected
greenda02,Guard,37,26:22:00,2.6,6.3,0.422,1.9,4.6,0.409,0.3,0.4,0.786,0.3,2.7,3,1.9,0.9,0.7,1,1.8,7.5,6.2,5.6,Not selected
porzikr01,Forward,40,33:25:00,6.8,15.3,0.448,2,5.1,0.384,3.1,3.9,0.8,1.6,5.5,7.1,1.4,0.8,1.9,1.8,3.8,18.8,13,-1.6,Not selected
wiggian01,Forward,45,37:00:00,8.1,18,0.449,1.2,3.5,0.346,4.6,6.3,0.736,1.2,3.1,4.3,2.4,0.8,0.4,2.4,2.1,22,13.2,-0.2,Not selected
youngth01,Forward,44,31:26:00,5,9.5,0.526,1,2.3,0.427,0.7,1.3,0.561,1.4,4.7,6.1,1.7,1.7,0.5,1.6,1.8,11.7,10.1,-0.1,Not selected
willima02,Forward,40,27:06:00,3.9,9.6,0.405,1.8,4.8,0.366,1.3,1.6,0.828,1,4.5,5.5,1.3,0.7,0.5,0.7,1.4,10.8,8.3,1.8,Not selected
randoza01,Forward,40,23:50,5.9,13.2,0.446,0.4,1.3,0.275,1.6,2.2,0.724,2.4,5.9,8.3,1.8,0.5,0.2,1.2,2,13.7,9.9,1.8,Not selected
monrogr01,Center,44,21:16,4.4,8.6,0.517,0,0,0,2.2,3.1,0.728,2.1,4.8,6.9,2.2,1.2,0.4,1.7,1.7,11.1,10.2,2.1,Not selected
valanjo01,Center,44,27:03:00,4.7,8.9,0.531,0,0,,2.4,2.8,0.863,3.2,7,10.2,0.7,0.5,0.8,1.5,2.9,11.8,10.6,1.9,Not selected
dragigo01,Guard,38,34:33:00,7,15.1,0.463,1.6,3.9,0.405,3.9,4.9,0.787,0.8,3.2,4,6.3,0.9,0.2,3.2,2.7,19.5,14,-2.9,Not selected
denglu01,Forward,45,27:24:00,3.1,7.9,0.395,1,3,0.321,0.8,1.2,0.685,1.2,4.4,5.6,1.5,1,0.3,0.8,1.1,8.1,6.9,-3.8,Not selected
redicjj01,Guard,44,28:05:00,5.4,12,0.452,2.7,6.1,0.437,2.2,2.5,0.865,0.2,1.9,2.1,1.3,0.7,0.1,1.3,1.6,15.7,9.8,6.6,Not selected
bealbr01,Guard,41,34:21:00,7.6,16.6,0.455,2.7,7.1,0.386,4,4.9,0.816,0.6,2.2,2.8,3.6,1,0.3,2,2.2,21.9,14.9,4.2,Not selected
teaguje01,Guard,44,32:15:00,5,11.3,0.447,0.9,2.8,0.328,4.5,5.3,0.847,0.5,3.6,4.1,8,1.5,0.5,2.9,2.2,15.5,14.4,-0.8,Not selected
hillge01,Guard,23,31:29:00,6.3,13,0.483,2,4.7,0.417,3.5,4.3,0.8,0.5,3.1,3.6,4.1,1,0.3,1.6,2.5,18,13.8,7.8,Not selected
gortama01,Center,45,34:49:00,5,8.6,0.584,0,0,0,1.3,2.1,0.634,3.1,8.3,11.4,1.6,0.5,0.9,1.7,3,11.3,11.1,2.8,Not selected
jacksre01,Guard,25,29:19:00,6.3,14.5,0.435,1.5,4,0.38,2.7,3.2,0.861,0.5,1.8,2.3,5.6,0.7,0.1,2.7,3,16.9,10.8,-3.5,Not selected
crowdja01,Forward,37,32:18:00,4.8,9.8,0.488,2.3,5.4,0.418,1.9,2.1,0.899,0.5,4.6,5.1,2.2,1,0.3,1.1,2.3,13.7,11.3,4.2,Not selected
thomptr01,Center,44,28:59:00,2.8,5,0.563,0,0.1,0,1.5,3,0.481,3.6,6,9.6,0.8,0.5,1.2,0.8,2.4,7.1,8.5,3.7,Not selected
parsoch01,Forward,19,18:03,2.5,6.9,0.366,0.7,3,0.246,0.8,1,0.842,0.2,1.7,1.9,1.4,0.7,0.1,0.5,1.3,6.6,4.1,-1,Not selected
mccolcj01,Guard,47,34:39:00,8.8,18.3,0.48,2.6,6.1,0.421,3.4,3.8,0.894,0.8,2.7,3.5,3.7,1.1,0.7,2.2,2.8,23.5,16.2,-0.8,Not selected
bledser01,Guard,45,33:08:00,7,15.7,0.446,1.5,4.6,0.317,5.3,6.2,0.85,0.9,4.1,5,6.2,1.4,0.4,3.1,2.7,20.8,16,-3.3,Not selected
antetgi01,Point-Forward,44,34:58:00,8.6,16.3,0.527,0.7,2.6,0.281,5.6,7.1,0.789,2.1,6.8,8.9,5.5,1.8,2,3,3.3,23.5,21.2,1.8,Not selected
gallida01,Forward,40,34:08:00,4.9,11.4,0.429,1.9,4.8,0.393,5.1,5.7,0.89,0.5,4.4,4.9,2.2,0.7,0.2,1.4,1.6,16.8,12.6,0.6,Not selected
derozde01,Guard,44,35:22:00,10,21.2,0.473,0.4,1.4,0.258,7.5,8.8,0.85,1,4.3,5.3,3.8,1.2,0.2,2.4,1.9,27.9,19.4,2.3,Not selected
thomais02,Guard,41,34:19:00,9.2,19.9,0.462,3,8,0.38,7.7,8.5,0.908,0.7,2.1,2.8,6.2,0.8,0.1,2.5,2.1,29.1,21.5,1.7,Not selected
iguodan01,Forward,44,25:17:00,2.3,4.8,0.478,0.7,2.1,0.344,0.5,0.8,0.629,0.7,3.1,3.8,3.3,0.9,0.4,0.7,1.2,5.8,7,6.7,Not selected
batumni01,Point-Forward,43,34:36:00,4.9,12.5,0.396,1.6,4.9,0.325,3.3,3.9,0.846,0.7,6.6,7.3,5.9,1.1,0.4,2.5,1.6,14.8,12.6,2.7,Not selected
ibakase01,Forward,46,30:17:00,6.2,12.6,0.489,1.5,3.9,0.393,1.4,1.7,0.818,1.8,5.2,7,1.1,0.6,1.6,1.2,2.5,15.2,11.8,-2.8,Not selected
gasolpa01,Center,39,26:23:00,4.8,9.4,0.51,0.5,1.1,0.465,1.7,2.6,0.644,1.5,6.4,7.9,2.7,0.4,1.2,1.2,1.7,11.7,10.9,3.7,Not selected
adamsst01,Center,44,30:06:00,5,8.5,0.591,0,0,0,2.1,3,0.705,3,4.6,7.6,1.2,1.2,1.1,1.9,2.4,12.2,11.3,3.6,Not selected
lopezbr01,Center,41,29:13:00,7.2,15.4,0.469,1.9,5.3,0.353,4.2,5,0.852,1.6,3.6,5.2,2.7,0.5,1.6,2.4,2.5,20.6,14.7,-3.3,Not selected
whiteha01,Center,42,33:20:00,7.1,13,0.548,0,0,,2.7,4.8,0.552,3.7,10.2,13.9,0.7,0.8,2,2,3.1,16.9,14.9,-2.4,Not selected
howardw01,Center,41,29:23:00,5.3,8.4,0.634,0,0,,3.1,5.4,0.565,4.4,8.5,12.9,1.3,0.9,1.3,2.1,2.9,13.7,14,0.2,Not selected
goberru01,Center,47,33:26:00,4.5,6.9,0.657,0,0,0,3.8,5.9,0.644,3.8,8.8,12.6,0.9,0.7,2.5,1.8,2.9,12.8,14.4,4.7,Not selected
wadedw01,Guard,42,30:34:00,7.1,16.6,0.428,0.9,2.7,0.319,4,5.1,0.793,1.1,3.1,4.2,3.7,1.6,0.7,2.2,1.9,19.1,13.4,-0.9,Not selected
nowitdi01,Forward,20,24:55:00,5,12.4,0.401,1.4,4.2,0.337,2,2.4,0.851,0.6,5.2,5.8,1.5,0.4,0.7,0.8,2.1,13.3,8.7,-3.6,Not selected
drumman01,Center,45,30:29:00,6.1,11.6,0.531,0,0.1,0.5,1.9,4.5,0.431,3.9,9.6,13.5,1.1,1.6,1.2,2.1,3,14.2,13.1,-3.2,Not selected
favorde01,Forward,32,23:22,3.8,8.3,0.459,0.1,0.2,0.333,1.6,2.6,0.627,1.6,4.4,6,1,0.8,0.9,1.3,2.2,9.3,7,1.2,Not selected
conlemi01,Guard,35,32:31:00,6.1,14.2,0.432,2.3,5.6,0.401,4.1,4.7,0.861,0.6,3.2,3.8,6.2,1.3,0.4,2.3,1.8,18.6,15,1.2,Not selected
townska01,Center,45,36:09:00,8.7,17.3,0.503,1.1,3.4,0.316,4,4.8,0.817,3.4,8.5,11.9,3,0.6,1.5,2.8,3.1,22.4,18,-0.4,Not selected
lillada01,Guard,42,35:37:00,8.6,19.3,0.444,2.5,7.3,0.34,6.5,7.3,0.899,0.6,4.1,4.7,5.8,0.7,0.3,2.7,2.2,26.2,18.9,-0.8,Not selected
horfoal01,Center,35,33:11:00,6.1,13.2,0.463,1.5,4.4,0.348,1.7,2.1,0.819,1.5,5.2,6.7,5.1,0.7,1.7,1.6,2.2,15.5,14.1,3,Not selected
aldrila01,Forward,41,32:18:00,7,13.9,0.502,0.4,0.8,0.484,3.3,4,0.823,2.2,4.9,7.1,2.3,0.6,1.1,1.3,2.3,17.6,14.1,5,Not selected
griffbl01,Point-Forward,27,33:29:00,7.7,16.3,0.475,0.2,0.8,0.227,5.2,7,0.741,2,6.9,8.9,4.7,1,0.4,2.6,2.6,20.9,16.3,9.1,Not selected
paulch01,Guard,36,30:53:00,5.8,12.3,0.471,1.9,4.9,0.395,3.9,4.5,0.876,0.7,4.6,5.3,9.7,2.3,0.1,2.4,2.4,17.5,18.6,10.1,Not selected
