Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
wadedw01,Guard,40,29:56:00,7,15.5,0.455,0.2,0.8,0.226,3.8,5,0.778,1.2,2.8,4,4.6,0.9,0.4,2.6,1.4,18.1,12.6,-1.2,Selected
lowryky01,Guard,42,36:27:00,6.6,15.8,0.419,2.7,7.1,0.383,4.9,5.5,0.88,0.7,4.4,5.1,6.5,2.3,0.5,3,2.7,20.9,17,4.7,Selected
jamesle01,Point-Forward,39,35:39:00,9.5,18.9,0.502,1.2,3.9,0.299,4.9,6.9,0.716,1.2,6,7.2,6,1.4,0.7,3.4,1.8,25.1,19.5,7.6,Selected
georgpa01,Forward,42,35:32:00,7.5,18.2,0.412,2.9,7.6,0.378,5.9,6.9,0.851,0.9,6.5,7.4,4,2,0.3,3.9,2.8,23.7,16.2,3.9,Selected
anthoca01,Forward,40,34:53:00,7.8,17.9,0.436,1.4,4.2,0.335,4.7,5.8,0.822,1.6,6,7.6,4,0.9,0.5,2.5,2.5,21.7,15.4,1.3,Selected
curryst01,Guard,41,33:50:00,9.9,19.5,0.509,4.8,10.7,0.449,5.2,5.8,0.907,0.7,4.6,5.3,6.5,2.1,0.1,3.4,2.1,29.9,24.4,15.6,Selected
westbru01,Guard,44,33:44:00,8.4,18.5,0.453,1.2,4.1,0.291,6.1,7.5,0.818,1.7,5.5,7.2,9.8,2.5,0.2,4.2,2.4,24,21.1,10.3,Selected
bryanko01,Guard,36,29:19:00,5.6,16.3,0.345,1.7,6.8,0.25,3.3,4.2,0.784,0.7,3.4,4.1,3.5,0.9,0.2,2.2,2,16.3,8.8,-8.6,Selected
duranke01,Forward,37,35:27:00,9.1,17.9,0.508,2.3,5.8,0.395,6,6.8,0.888,0.4,7.4,7.8,4.4,1,1.2,2.9,1.6,26.5,21.1,10.8,Selected
leonaka01,Forward,40,33:09:00,7.4,14.6,0.506,1.8,3.8,0.481,3.5,4,0.874,1.3,5.7,7,2.6,2,0.9,1.4,1.9,20.1,17.5,9.9,Selected
butleji01,Guard,44,38:16:00,7.3,16.2,0.45,1.1,3.4,0.322,6.5,7.8,0.835,1.2,4.2,5.4,4.2,1.7,0.7,2.1,2,22.3,17.6,-0.2,Selected
boshch01,Forward,46,33:36:00,6.8,14.3,0.476,1.6,4.3,0.372,4,5,0.796,0.9,6.7,7.6,2.5,0.7,0.7,1.4,1.8,19.2,15,0.9,Selected
walljo01,Guard,43,35:39:00,7.3,17.1,0.429,1.4,4.1,0.343,3.5,4.5,0.781,0.7,3.5,4.2,9.8,2.1,0.7,4.4,2.1,19.6,15.9,0.1,Selected
millspa01,Forward,46,32:42:00,6.5,13.2,0.493,0.8,2.6,0.306,4.5,5.8,0.778,2.6,6.3,8.9,3.5,1.9,1.4,2.3,3,18.3,16.7,1.2,Selected
derozde01,Guard,45,36:29:00,7.8,17.6,0.442,0.6,1.9,0.321,6.8,8.1,0.844,0.8,3.8,4.6,4.1,1,0.3,2.3,2,23,16,2.2,Selected
drumman01,Center,46,33:42:00,7.2,14,0.518,0,0.1,0.333,2.8,7.8,0.355,5.3,9.9,15.2,0.8,1.7,1.4,2.1,3.1,17.3,15,3.3,Selected
thomais02,Guard,47,32:21:00,7,16.4,0.424,2,5.8,0.347,5.6,6.3,0.892,0.5,2.4,2.9,6.6,1.1,0.1,2.7,1.9,21.6,16,4.1,Selected
gasolpa01,Center,42,31:40:00,6.6,14.1,0.468,0.2,0.6,0.346,3.2,4,0.792,2.4,8.5,10.9,3.1,0.5,2.1,2,2,16.6,14.7,1.5,Selected
horfoal01,Center,47,31:28:00,6.5,13,0.501,1,3,0.321,1.3,1.7,0.756,2.1,5,7.1,3,0.9,1.4,1.3,1.9,15.2,13.5,1.5,Selected
paulch01,Guard,41,32:23:00,6.7,14.8,0.453,1.5,3.9,0.385,3.7,4.1,0.882,0.6,3.3,3.9,9.6,2.1,0.2,2.8,2.8,18.6,17.1,6.8,Selected
aldrila01,Forward,42,29:26:00,6.5,13.4,0.488,0,0.3,0,2.8,3.4,0.811,2.6,6.1,8.7,1.4,0.3,0.9,1.4,2.2,15.9,12.1,7.1,Selected
hardeja01,Guard,48,37:16:00,8.1,19,0.425,2.7,7.9,0.342,8.7,10,0.869,0.8,5.4,6.2,6.9,1.4,0.7,4.5,2.7,27.5,20.3,-1,Selected
davisan02,Forward,39,35:17:00,8.7,17.6,0.492,0.5,1.7,0.288,5.1,6.7,0.766,2,8.1,10.1,1.8,1.3,2.4,2.2,2.4,22.9,18.4,-0.7,Selected
couside01,Center,37,33:58:00,9.2,20.5,0.45,1.2,3.5,0.341,7.6,10.4,0.734,2.4,8.8,11.2,2.8,1.3,1.3,3.6,3.9,27.3,18.9,2.8,Selected
thompkl01,Guard,44,32:42:00,7.5,16,0.466,3.2,7.5,0.427,2.8,3.3,0.84,0.4,3.5,3.9,2.3,0.5,0.8,1.8,2,20.9,13.8,12.5,Selected
