Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
greendr01,Point-Forward,45,34:10:00,5.1,10.8,0.475,1.4,3.5,0.414,2.8,4.1,0.683,1.8,7.6,9.4,7.2,1.4,1.3,2.8,2.9,14.5,15.3,14.9,Selected
antetgi01,Forward,45,34:12:00,6,11.7,0.511,0.3,1.3,0.228,3.5,4.5,0.772,1.5,5.7,7.2,2.8,1,1.2,2.5,3.5,15.8,12.1,-2.2,Not selected
matthwe02,Forward,44,33:00:00,4.4,11.2,0.389,2.4,6.8,0.355,1.6,1.9,0.854,0.4,2.6,3,1.8,1.1,0.3,1.1,2.2,12.8,8.2,2,Not selected
motiedo01,Forward,14,13:27,2.2,4.4,0.5,0.5,1.2,0.412,0.6,1,0.643,0.5,1.6,2.1,1,0.4,0.1,1.8,1.8,5.6,2.8,0.1,Not selected
noelne01,Center,41,29:14:00,4.5,8.5,0.527,0,0,,1.8,3.2,0.573,2.2,6,8.2,1.4,1.6,1.6,2.4,2.5,10.8,9.7,-8,Not selected
smithjo03,Forward,36,15:26,2.3,6.3,0.363,0.6,2.2,0.269,0.8,1.4,0.577,1.1,2.9,4,1.5,0.6,1.1,1.4,2.1,6,4.1,-3.2,Not selected
hibbero01,Center,47,25:08:00,2.5,5.6,0.445,0,0,0,1.9,2.2,0.845,1.7,3.8,5.5,1.5,0.4,1.6,1.2,3.2,6.8,6.2,-7.8,Not selected
jacksre01,Guard,46,30:56:00,7.2,16.3,0.44,1.5,4.1,0.362,3.5,4.2,0.843,0.8,2.8,3.6,6.5,0.8,0.1,2.8,2.2,19.3,13.7,2.8,Not selected
redicjj01,Guard,42,27:47:00,5.5,11.3,0.484,2.7,5.6,0.485,2.7,3.1,0.876,0.1,1.5,1.6,1.5,0.5,0,1,1.7,16.4,10.9,7,Not selected
willilo02,Guard,45,29:20:00,4.4,10.9,0.405,1.6,4.8,0.332,5.1,6.2,0.834,0.4,2.3,2.7,2.6,1,0.3,1.6,1.8,15.5,11,-7.8,Not selected
wiggian01,Forward,46,35:03:00,7.4,16.5,0.45,0.6,2.4,0.243,5.4,7.3,0.74,1.5,2.2,3.7,1.9,0.8,0.5,2.2,2.1,20.8,12.6,-2.5,Not selected
gibsota01,Forward,44,25:27:00,3.3,6.4,0.514,0,0,0,1.2,1.8,0.675,2.9,4.2,7.1,1.3,0.5,1,1.1,2.3,7.7,7.7,-1.3,Not selected
johnsam01,Forward,44,23:55,3.4,5.9,0.581,0.2,0.8,0.265,0.9,1.6,0.557,2.2,4.2,6.4,1.8,0.7,1.2,1.2,2.8,8,8.2,2.5,Not selected
rubiori01,Guard,41,30:14:00,2.7,7.9,0.347,0.7,2.3,0.29,3.3,4,0.829,0.7,3.7,4.4,8.6,2.2,0.1,2.4,2.5,9.4,11.3,0.5,Not selected
farieke01,Forward,39,26:14:00,5.2,9.6,0.535,0,0,0,2,3.5,0.565,3.7,5.3,9,1.2,0.5,1.1,1.4,2.6,12.3,10.8,-3.4,Not selected
lopezro01,Center,47,25:02:00,3.8,7.3,0.517,0,0,,1.3,1.6,0.811,2.6,3.4,6,1.5,0.2,1.4,1.6,2.5,8.9,7.5,-1,Not selected
willide01,Guard,40,32:23:00,5,11.9,0.419,1.4,4.2,0.347,2.6,2.9,0.896,0.3,2.8,3.1,5.4,1,0.2,2.4,2.3,14,10.2,-0.8,Not selected
johnsjo02,Forward,46,34:18:00,4.3,11,0.394,1.5,4,0.368,1.4,1.7,0.829,0.7,3.2,3.9,3.8,0.7,0,1.9,1.8,11.5,7.6,-3.7,Not selected
carrode01,Forward,23,31:56:00,4.3,11.1,0.388,1.8,4.8,0.378,1.2,2.1,0.583,1.2,3.6,4.8,1,1.7,0.2,1.2,2.5,11.7,7.6,0.3,Not selected
hillge01,Guard,38,35:09:00,4.6,10.5,0.442,1.9,4.4,0.434,1.6,2.1,0.741,0.8,3.1,3.9,3.1,1.4,0.2,1.5,2.1,12.7,9.9,1.2,Not selected
knighbr03,Guard,42,36:15:00,7.4,17.3,0.424,2.1,6.2,0.333,2.9,3.4,0.847,0.6,3.1,3.7,5.1,1.3,0.3,3.5,2.4,19.7,12.4,-3.7,Not selected
harrito02,Forward,44,33:04:00,5.1,11.1,0.463,1,3.1,0.311,2.5,3.2,0.78,1.4,5.6,7,2.2,1,0.6,1.6,1.9,13.7,11,-0.6,Not selected
valanjo01,Center,28,26:46:00,4.9,8.8,0.555,0,0,,2.7,3.6,0.745,3.1,6.2,9.3,0.9,0.4,1.2,1.7,2.5,12.4,11.1,4.8,Not selected
bogutan01,Center,39,20:46,2.6,4.1,0.634,0,0,,0.3,0.7,0.414,1.7,5.4,7.1,1.9,0.3,1.6,1.2,3,5.5,6.8,6.4,Not selected
youngth01,Forward,46,32:18:00,6.8,13.4,0.511,0.1,0.5,0.217,1.3,2.3,0.585,2.7,6.3,9,1.5,1.5,0.4,1.8,2.5,15.2,11.9,-4.8,Not selected
splitti01,Center,34,16:00,2.3,4.4,0.517,0,0.1,0,1,1.2,0.81,1.2,2,3.2,0.8,0.5,0.4,0.7,2,5.5,4.6,2.9,Not selected
gallida01,Forward,40,34:23:00,5.4,13.2,0.407,1.6,4.6,0.357,6.9,7.8,0.876,1.2,4.6,5.8,2.5,0.6,0.4,1.4,1.7,19.2,14.6,-3,Not selected
anderry01,Forward,42,31:26:00,6,13.7,0.433,2.1,5.4,0.394,2.9,3.3,0.879,2,4,6,1,0.6,0.4,1.6,1.6,17,11.5,0.5,Not selected
piercpa01,Forward,43,17:29,1.9,5.6,0.344,1.1,3.5,0.316,0.7,0.9,0.795,0.2,2.6,2.8,1,0.5,0.2,0.7,1.8,5.7,3.3,0,Not selected
thomptr01,Forward,44,27:23:00,3,5.4,0.564,0,0,,1.7,3,0.585,3.3,6,9.3,0.7,0.3,0.4,0.7,2.5,7.8,8.2,4.4,Not selected
whiteha01,Center,41,28:52:00,5.1,8.4,0.613,0,0,,2,3.7,0.542,3.1,8.1,11.2,0.3,0.6,3.9,2.1,2.4,12.3,12.9,-0.4,Not selected
mozgoti01,Center,41,17:49,2.6,5,0.522,0,0.2,0.143,1,1.3,0.764,1.4,2.8,4.2,0.4,0.3,0.8,1,2.1,6.3,4.9,0,Not selected
vucevni01,Center,41,31:24:00,7.8,15.4,0.505,0,0.1,0.167,1.1,1.5,0.746,2.9,5.9,8.8,2.7,0.8,1.1,1.8,2.5,16.7,13.4,-1.1,Not selected
parsoch01,Forward,40,27:17:00,4.6,9.4,0.485,1.4,3.4,0.399,1.2,2,0.61,0.4,3.8,4.2,2.4,0.6,0.4,1.4,1.7,11.7,8.5,-0.4,Not selected
arizatr01,Forward,47,34:19:00,4.3,10.4,0.414,2.3,6,0.379,1.3,1.8,0.721,0.7,3.9,4.6,1.9,1.8,0.3,1.4,2.2,12.2,9.1,-1,Not selected
morrima02,Forward,30,22:55,4.1,10.7,0.385,0.6,2,0.305,1.4,2,0.712,1,3.9,4.9,1.9,0.7,0.3,2.2,2.7,10.3,5.1,-3.8,Not selected
gortama01,Center,37,31:43:00,5.6,10.7,0.528,0,0,,2.1,2.8,0.757,2.8,7.1,9.9,1.6,0.7,1.3,1.9,2.5,13.4,11.8,-1.5,Not selected
bealbr01,Guard,22,32:55:00,6.9,15.4,0.447,2.1,5.2,0.4,2.7,3.5,0.766,1,3.3,4.3,3,1,0.3,2.6,2.4,18.5,11.6,-3.2,Not selected
rosede01,Guard,38,32:02:00,6.3,15.5,0.406,0.6,2.3,0.264,2.1,2.7,0.792,0.5,2.6,3.1,4.5,0.6,0.3,2.6,1.5,15.3,8.6,-1.8,Not selected
holidjr01,Guard,38,25:18:00,5.2,11.6,0.448,1.2,3.2,0.38,2.3,2.9,0.786,0.3,2.4,2.7,5.2,1.1,0.3,2.2,2.3,13.9,10.5,1,Not selected
evansty01,Guard,25,30:36:00,5.4,12.6,0.433,1.3,3.4,0.388,3,3.7,0.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2,12.2,-0.6,Not selected
ellismo01,Guard,45,33:21:00,5.5,12.7,0.435,0.8,3,0.279,1.8,2.4,0.743,0.4,2.4,2.8,5,1.7,0.5,2.7,2.1,13.7,9.8,2,Not selected
denglu01,Forward,39,31:13:00,3.6,8.6,0.421,1.2,3.4,0.351,1.5,1.9,0.795,0.9,3.7,4.6,1.6,0.9,0.4,0.9,1.5,9.9,7.7,-2.5,Not selected
batumni01,Point-Forward,38,34:42:00,5.1,12.3,0.412,2,5.8,0.347,2.7,3.3,0.839,0.9,5.4,6.3,5.3,0.9,0.5,3.1,1.8,14.9,11.6,1,Not selected
parketo01,Guard,42,26:47:00,5.2,10,0.524,0.4,0.8,0.429,1.8,2.3,0.763,0.3,2.3,2.6,5.1,0.9,0.2,1.6,1.6,12.6,10.7,6.7,Not selected
gayru01,Forward,40,34:09:00,7.1,15.2,0.469,1,3.1,0.328,2.8,3.5,0.78,1.6,5.3,6.9,1.7,1.2,0.7,1.8,2.6,18,12.7,-1.5,Not selected
lawsoty01,Guard,41,24:25:00,2.3,6,0.392,0.6,1.9,0.325,1.3,1.8,0.703,0.5,1.4,1.9,3.9,0.9,0.1,1.7,1.4,6.6,5.3,-2.7,Not selected
greenda02,Guard,46,25:05:00,2.6,7,0.369,1.5,4.3,0.352,0.4,0.5,0.8,0.6,3.1,3.7,1.8,0.8,0.7,1.1,1.4,7.1,5.5,5.5,Not selected
randoza01,Forward,41,28:45:00,5.8,12,0.482,0,0.1,0.167,2.3,3,0.752,3,5.1,8.1,1.5,0.6,0.2,1.4,2,13.9,10.7,-0.8,Not selected
monrogr01,Center,45,30:20:00,6.6,12.8,0.516,0,0,,3,4,0.754,3,6.8,9.8,2.3,1,0.9,1.7,2.2,16.2,14.3,-0.2,Not selected
jeffeal01,Center,19,25:10:00,5.6,11.7,0.482,0,0,,1.3,2.2,0.571,1.2,4.9,6.1,1.6,0.7,1.1,0.7,2.4,12.5,9.4,-0.5,Not selected
korveky01,Guard,45,30:26:00,3.4,7.9,0.429,1.9,5.1,0.38,0.7,0.8,0.868,0.2,3.4,3.6,2.2,0.8,0.5,1.4,2,9.5,6.8,3.3,Not selected
middlkh01,Guard,47,35:58:00,6.2,14,0.444,2,4.8,0.424,3.4,3.9,0.885,0.4,3.2,3.6,4,1.1,0.2,1.9,2.6,17.9,12.8,-0.9,Not selected
iguodan01,Forward,46,27:22:00,2.9,5.8,0.493,0.9,2.5,0.381,0.8,1.2,0.667,0.9,3.4,4.3,3.5,1.2,0.3,1.2,1.6,7.5,8.1,8.1,Not selected
noahjo01,Center,29,21:54,1.8,4.6,0.383,0,0,0,0.8,1.6,0.489,3,5.8,8.8,3.8,0.6,1,1.8,2.7,4.3,6.4,-1.1,Not selected
dragigo01,Guard,37,32:29:00,5,10.7,0.466,0.9,2.8,0.327,1.4,1.9,0.722,0.7,2.6,3.3,5,1,0.2,2.5,2.4,12.3,9.1,1.8,Not selected
teaguje01,Guard,44,28:25:00,5,11.9,0.419,1.1,2.8,0.387,3.3,3.9,0.843,0.5,2.1,2.6,5.5,1.3,0.3,2.8,2.1,14.3,10.5,-1.1,Not selected
goberru01,Center,25,32:41:00,3.5,6,0.58,0,0,,2.4,4,0.61,3.2,7.3,10.5,1.6,0.8,2.6,1.9,3.1,9.4,11,3.7,Not selected
lopezbr01,Center,46,33:20:00,7.8,15.7,0.494,0,0.1,0,4,5.1,0.788,2.9,5.5,8.4,1.6,0.7,1.9,2.3,3,19.6,14.6,-3.3,Not selected
favorde01,Forward,28,31:43:00,6.8,12.8,0.529,0,0,0,3,4.3,0.694,3.1,5.2,8.3,1.5,1.4,1.1,1.4,2.4,16.6,14.3,-0.3,Not selected
chandty01,Center,38,23:15,1.9,4,0.484,0,0,0,1.7,2.6,0.646,2.6,5.6,8.2,1,0.5,0.6,1.3,2,5.6,6.2,-6.5,Not selected
bledser01,Guard,31,34:09:00,7.2,15.9,0.453,1.5,4.2,0.372,4.5,5.5,0.802,0.6,3.5,4.1,6.1,2,0.6,3.5,2.4,20.4,15.4,-1.6,Not selected
jordade01,Center,44,33:23:00,4.3,6.1,0.712,0,0,,3.3,7.8,0.42,3.6,10,13.6,1,0.5,2.2,1.1,2.8,11.9,13.6,4.6,Not selected
nowitdi01,Forward,43,30:44:00,6.4,14.2,0.448,1.8,4.4,0.398,3.1,3.4,0.905,0.7,5.9,6.6,1.8,0.6,0.6,1.1,1.8,17.6,12.8,4,Not selected
conlemi01,Guard,40,31:42:00,5.1,12.6,0.403,1.4,4,0.358,3.3,3.9,0.847,0.5,2.5,3,5.9,1.3,0.3,1.4,1.8,15,12.5,-0.6,Not selected
ibakase01,Forward,48,32:41:00,5.5,11.2,0.492,0.8,2,0.385,1.2,1.5,0.77,1.9,5,6.9,0.9,0.4,2.1,1.6,2.6,13,9.9,7.9,Not selected
lillada01,Guard,40,36:04:00,8.4,19.8,0.421,3,8,0.376,4.6,5.3,0.872,0.7,3.7,4.4,7.1,0.9,0.3,3.4,2.4,24.3,16.9,0.5,Not selected
irvinky01,Guard,18,26:50:00,5.9,14.6,0.408,1.1,4.1,0.27,2.4,2.8,0.88,1.1,2.1,3.2,3.8,0.9,0.2,2.1,1.2,15.4,10.1,5,Not selected
howardw01,Center,38,32:17:00,5.3,8.6,0.612,0,0.1,0,3.9,6.9,0.561,3.6,8.4,12,1.5,1,1.6,2.4,3.1,14.4,13.8,0.8,Not selected
loveke01,Forward,44,32:20:00,5.3,12.7,0.418,2,5.6,0.358,3,3.8,0.787,2.3,8.4,10.7,2.4,1,0.5,2,2.1,15.7,12.9,6,Not selected
duncati01,Center,37,25:56:00,3.6,7.2,0.508,0,0.1,0,1.6,2.1,0.744,1.7,5.8,7.5,3,0.9,1.3,1.7,2.4,8.9,9.3,9.2,Not selected
gasolma01,Center,46,35:09:00,6.3,13.9,0.453,0,0.1,0.667,4.1,4.9,0.835,1.2,5.9,7.1,3.8,0.9,1.3,2.3,2.8,16.7,12.9,-0.7,Not selected
griffbl01,Point-Forward,30,34:55:00,9.4,18.4,0.508,0.2,0.6,0.353,4.3,5.9,0.725,1.6,7,8.6,5,0.7,0.6,2.4,2.8,23.2,17.8,3.5,Not selected
