Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Center,18,17.02,3.3,5.6,0.6,0,0,,1.5,2,0.75,1.6,3.2,4.8,0.7,1.1,0.8,0.9,2.1,8.2,7.9,-4.2,Not selected
Center,23,23.43,1.4,3.1,0.458,0,0,0,0.1,0.5,0.273,2.3,6.7,9,2,0.5,1,1.7,3.2,3,4.5,-0.8,Not selected
Center,47,28.25,4.2,8.7,0.483,0,0,0,0.8,1.2,0.655,3.4,3.6,7,0.8,0.2,1.7,1.1,1.9,9.2,8.2,-0.5,Not selected
Center,34,23.1,5.2,8.4,0.623,0,0,,1.1,2.4,0.457,2.4,5.3,7.7,0.9,0.4,1.5,1.2,2.6,11.5,10.3,0.2,Not selected
Center,40,25.82,6.1,10.2,0.597,0.5,1.6,0.333,2.4,3,0.817,2.7,5.7,8.4,3.9,0.8,0.8,1.9,3.1,15.2,14.7,2.4,Not selected
Center,1,14.08,0,1,0,0,0,,1,2,0.5,0,1,1,0,1,1,2,3,1,-1.3,-11,Not selected
Center,44,28.07,6.2,13.1,0.473,0.2,0.9,0.275,1.1,1.8,0.633,2.2,7.5,9.7,2.8,0.9,1,1.6,2.3,13.8,11.6,-1.6,Not selected
Center,44,21.27,4.4,8.6,0.517,0,0,0,2.2,3.1,0.728,2.1,4.8,6.9,2.2,1.2,0.4,1.7,1.7,11.1,10.2,2.1,Not selected
Center,44,27.05,4.7,8.9,0.531,0,0,,2.4,2.8,0.863,3.2,7,10.2,0.7,0.5,0.8,1.5,2.9,11.8,10.6,1.9,Not selected
Center,45,34.82,5,8.6,0.584,0,0,0,1.3,2.1,0.634,3.1,8.3,11.4,1.6,0.5,0.9,1.7,3,11.3,11.1,2.8,Not selected
Center,44,28.98,2.8,5,0.563,0,0.1,0,1.5,3,0.481,3.6,6,9.6,0.8,0.5,1.2,0.8,2.4,7.1,8.5,3.7,Not selected
Center,39,26.38,4.8,9.4,0.51,0.5,1.1,0.465,1.7,2.6,0.644,1.5,6.4,7.9,2.7,0.4,1.2,1.2,1.7,11.7,10.9,3.7,Not selected
Center,44,30.1,5,8.5,0.591,0,0,0,2.1,3,0.705,3,4.6,7.6,1.2,1.2,1.1,1.9,2.4,12.2,11.3,3.6,Not selected
