Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Forward,19,10.08,1.5,4.3,0.346,0.8,2.7,0.308,0.5,0.6,0.818,0,1.6,1.6,0.4,0.1,0.3,0.3,1.3,4.3,2,-1.7,Not selected
Forward,40,24.97,3.4,8.6,0.394,1.6,4.6,0.346,2.7,3.6,0.743,1,3.9,4.9,1.1,0.4,0.1,1.1,1.6,11,7.4,0.4,Not selected
Forward,46,19.62,2.8,6.3,0.448,1.3,4,0.333,1.8,2.3,0.778,0.9,3.3,4.2,1.6,0.6,0.3,1.3,2.2,8.8,6.7,0.7,Not selected
Forward,43,29.8,3.5,6.4,0.543,0.2,0.8,0.265,0.9,1.5,0.578,1.1,4.7,5.8,3,1.3,0.9,1.3,2.6,8,8.4,-1.3,Not selected
Forward,45,23.43,2.1,4.4,0.477,0.7,2.1,0.344,0.7,1.2,0.623,0.7,3.1,3.8,3.2,0.9,0.8,0.8,1.4,5.7,7,4.7,Not selected
Forward,50,35.48,2.8,6.9,0.409,1.9,4.9,0.377,0.6,1,0.633,1.5,4.7,6.2,1.2,1.5,0.4,0.9,3.2,8.2,7.3,1.1,Not selected
Forward,29,31.5,6.2,14.6,0.425,2.5,6.5,0.386,2.1,2.6,0.838,1.1,6.9,8,1,0.8,0.8,1.6,2.1,17.1,11.7,-5.8,Not selected
Forward,50,25.57,4.3,7.7,0.564,0.2,0.7,0.333,1.7,2.3,0.733,2.6,4.2,6.8,1.3,0.8,0.6,1.1,2.6,10.6,9.7,1.2,Not selected
Forward,52,29.57,3.2,7.3,0.43,1.3,3.7,0.351,1.9,2.2,0.836,1.6,6.5,8.1,1.2,0.9,0.4,0.8,2,9.5,9,4.6,Not selected
Forward,48,25.0,5.8,9.4,0.612,0.1,0.2,0.778,2.9,3.9,0.753,2.7,6.7,9.4,2.8,0.6,0.5,2.2,3.2,14.6,13.3,3.3,Not selected
Forward,47,35.27,4.1,10.7,0.381,2.2,6.4,0.339,1.8,2.2,0.81,0.7,5,5.7,3.7,1.5,0.2,1.7,1.9,12.1,9.9,-5.8,Not selected
Forward,50,29.93,5.5,10.3,0.537,0.5,1.5,0.338,1.1,1.8,0.609,2.3,3.9,6.2,1.9,1.5,0.5,1.3,2.4,12.7,11.1,3.2,Not selected
Forward,40,32.93,6.6,13.6,0.487,0.5,1.7,0.309,3.4,5.2,0.638,0.8,4.1,4.9,3,0.6,0.6,2.6,2.7,17.1,10.8,-0.6,Not selected
Forward,47,34.68,6.6,16.5,0.396,1.6,4.8,0.341,3.2,4.5,0.717,1.1,3.4,4.5,2.3,1.1,0.5,1.9,2,18,10.7,1.6,Not selected
Forward,50,30.83,3.4,7.3,0.464,1.4,3.6,0.399,1.1,1.3,0.851,0.8,4.3,5.1,3.3,0.9,0.5,1.7,1.7,9.3,8.6,-0.2,Not selected
Forward,47,29.55,7.3,13.4,0.544,0.6,1.9,0.318,4.7,6.4,0.738,2.1,7.2,9.3,3,0.6,0.6,2.6,3.4,19.9,15.5,1.6,Not selected
Forward,11,24.68,4.7,10.4,0.456,1.7,4.3,0.404,1.7,2.2,0.792,1,3.5,4.5,2.8,0.3,0.5,1.4,2.5,12.9,9.4,4.1,Not selected
Forward,47,33.67,6,13.3,0.452,1.6,4.4,0.349,2.3,3.2,0.728,1.8,5.9,7.7,3.5,0.7,0.7,1.9,2.3,15.9,12.5,-0.7,Not selected
Forward,51,34.57,7.8,15.5,0.503,2,4.7,0.433,3.6,4.1,0.884,0.7,7.3,8,2.6,0.8,0.5,1.9,2.2,21.2,16.1,1.1,Not selected
Forward,32,28.9,5.7,12.7,0.447,2.7,7.2,0.368,2.7,3.2,0.842,1.4,6.8,8.2,1.1,0.7,0.8,1.2,2.7,16.7,12.6,1.1,Not selected
Forward,46,32.22,5.8,14.4,0.406,2.5,6.3,0.392,3.5,4.2,0.829,0.7,3.5,4.2,1.2,0.7,0.2,1.3,1.7,17.7,10.9,-1.5,Not selected
Forward,52,31.18,4.2,9.8,0.43,2,5.6,0.359,1.2,1.8,0.714,0.3,3.5,3.8,4.9,1.4,0.2,2.2,2.4,11.6,9.4,4.1,Not selected
Forward,50,24.7,3.4,8.2,0.415,1.3,3.9,0.333,1.5,1.7,0.872,1.4,4.2,5.6,1.5,0.5,0.1,1.2,2.3,9.6,7,-0.8,Not selected
Forward,35,34.35,4.5,10.3,0.431,2.4,6.4,0.378,1.9,2.5,0.764,0.8,4.7,5.5,1.3,2.1,1.3,1.3,3.6,13.3,10.8,1.9,Not selected
Forward,39,28.68,4.9,10.6,0.458,1.6,4.3,0.375,1.1,1.4,0.786,0.9,4.6,5.5,1.9,1.5,0.5,1,1.8,12.5,10.4,0,Not selected
Forward,51,31.02,6,13.4,0.452,1.6,4.3,0.382,2.5,3,0.855,1,5.2,6.2,1.8,1,0.8,1.5,2.1,16.3,11.9,5.9,Not selected
Forward,42,25.73,4.5,9.3,0.485,0.7,1.9,0.346,2.7,3.7,0.723,2.1,4.6,6.7,1.8,1.2,0.8,1.3,2.5,12.3,10.8,5,Not selected
