Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Guard,39,35.5,7.9,17.7,0.445,2.1,5.9,0.357,2.2,3,0.724,1.3,3.5,4.8,6.4,1.7,0.8,2.9,2.1,20,15.4,-2,Not selected
Guard,39,35.48,9.8,21.6,0.453,2.5,7.8,0.318,6.5,7.7,0.846,1,3.4,4.4,6.3,1,0.3,3.3,2.3,28.6,20.1,-6.2,Not selected
Guard,18,33.18,9.7,21.2,0.459,2.7,7.1,0.375,4.7,5.1,0.924,1.1,4.1,5.2,6.6,1.4,0.5,2.3,2.6,26.8,20.8,-1.2,Not selected
Guard,4,28.02,6.8,16.5,0.409,2.2,9.2,0.243,4.5,4.5,1,1,4,5,6.5,1.2,0.5,3.8,2.5,20.2,14.7,-7.5,Not selected
Guard,44,37.33,10.5,23.9,0.44,5,13.2,0.374,10.3,11.9,0.864,1,5.6,6.6,8.2,2.1,0.7,5.6,3.5,36.3,26.9,2.5,Selected
Guard,36,34.3,9.7,19.9,0.488,5.2,11.7,0.448,4.6,4.9,0.927,0.8,4.4,5.2,5.6,1.2,0.4,2.9,2.6,29.2,22.4,10.8,Selected
Guard,42,32.45,8.9,17.8,0.501,2.6,6.3,0.413,3,3.5,0.846,1.1,3.6,4.7,6.9,1.7,0.5,2.7,2.2,23.5,19.5,7.1,Selected
Guard,50,34.18,8.5,19.7,0.432,3.1,8.8,0.355,4.2,5.1,0.817,0.5,3.7,4.2,5.6,1.2,0.5,2.5,1.6,24.4,17.4,0.3,Selected
Guard,51,37.03,9.2,19.5,0.468,2.6,7.3,0.354,3.8,4.8,0.794,1.1,3.9,5,5.1,1.4,0.8,2.7,2.9,24.7,17.9,-1.5,Selected
Guard,51,29.55,7.6,17.3,0.44,2.7,7.2,0.376,1.6,2,0.81,0.5,3.2,3.7,6.4,1.2,0.3,2.8,1.7,19.5,14,0.5,Selected
Guard,51,35.3,8.7,19.3,0.45,2.8,7.6,0.372,6.2,6.8,0.908,0.8,3.8,4.6,6.3,1.1,0.5,2.8,1.8,26.4,20.1,5,Selected
Guard,41,34.32,4.7,11.4,0.41,2.2,6.7,0.322,2.7,3.1,0.845,0.6,3.9,4.5,9.4,1.4,0.5,2.8,2.5,14.2,14,8.7,Selected
Guard,50,34.15,8.5,18.5,0.462,2.9,7.5,0.379,1.8,2.2,0.804,0.4,3.6,4,2,1.2,0.6,1.6,2.2,21.7,14,4,Selected
Guard,36,31.85,6.9,16.3,0.423,2.1,6,0.343,2.9,3.9,0.73,0.6,5,5.6,5.2,1.7,0.3,2.3,2,18.8,14,3.5,Selected
Guard,42,35.5,8.3,19.9,0.416,1.2,4.7,0.25,4,6.1,0.65,1.5,9.4,10.9,10.8,2.3,0.3,4.5,3.5,21.7,18.2,6.3,Selected
Guard,47,30.27,3.9,9.7,0.406,1.6,4.9,0.329,0.4,1,0.417,1.1,4.2,5.3,5.4,1.5,0.4,2.2,2.4,9.9,8.9,-0.3,Not selected
Guard,49,28.87,4.9,12.2,0.402,1.9,5.7,0.343,2.5,2.9,0.861,0.6,2.2,2.8,4.2,0.7,0.1,1.8,2.9,14.3,9.4,-1.8,Not selected
Guard,46,26.77,3.7,9.1,0.401,1.7,4.5,0.365,1.5,1.8,0.831,0.4,2.3,2.7,4.6,0.8,0.3,1.3,1.8,10.5,8.7,2.8,Not selected
Guard,50,31.17,5.7,13.2,0.428,1.9,5.9,0.328,1.6,2.1,0.771,0.5,2.5,3,3.5,0.9,0.2,2,2.9,14.9,9,-1.2,Not selected
Guard,36,27.15,5,11.3,0.443,1.6,4.7,0.331,2.3,3.1,0.748,0.6,3.3,3.9,2.6,1.7,0.9,2.1,2.6,13.9,10.1,-5.6,Not selected
Guard,51,22.95,3.2,8.4,0.383,1.5,4.2,0.354,1,1.2,0.81,0.5,3.6,4.1,3.1,0.9,0.3,0.9,1.3,8.9,7.5,0.8,Not selected
Guard,49,28.53,5.8,13.9,0.415,1.4,4.1,0.345,2.4,2.9,0.83,0.4,3,3.4,4.3,0.9,0.2,2.4,2.2,15.4,9.7,2.5,Not selected
Guard,47,34.58,6,14.8,0.402,2.5,6.6,0.372,3,3.4,0.863,0.7,3,3.7,3.8,1.1,0.5,1.7,2.8,17.3,11.9,1.5,Not selected
Guard,49,31.03,6.2,13.9,0.446,3,7.9,0.384,3,3.3,0.901,0.3,1.9,2.2,2.8,0.4,0.2,1.4,1.7,18.4,12.2,4.7,Not selected
Guard,45,25.65,5.9,14.4,0.413,1.3,3.7,0.351,5.5,6.1,0.902,0.4,2.6,3,5.2,0.6,0.1,2.4,1,18.7,13.5,3.7,Not selected
Guard,31,30.27,3.8,9.5,0.406,0.9,2.6,0.341,2.9,3.6,0.82,0.4,2.1,2.5,8.1,1.1,0.4,2.3,2.1,11.5,11,0.3,Not selected
Guard,45,28.55,4.5,11.3,0.402,1.4,4.2,0.328,2.4,2.8,0.849,0.4,3,3.4,6.1,1.3,0.2,3,2.7,12.8,9.4,1.8,Not selected
Guard,47,33.5,7,16.1,0.432,1.9,5.3,0.365,2.6,3.1,0.836,1,3.4,4.4,4.9,0.8,0.4,2.4,2.1,18.5,12.7,3.2,Not selected
Guard,49,29.35,6.1,12.4,0.492,1.4,4.8,0.303,2.2,2.8,0.768,1,3.5,4.5,5.5,1.4,0.4,2.1,2.1,15.8,13.7,7.7,Not selected
Guard,40,34.62,8.8,19,0.461,2.1,6.5,0.323,5.2,6.2,0.85,0.5,3.1,3.6,6.7,0.9,0.2,4,3.2,24.8,16.4,-6.5,Not selected
Guard,39,32.92,5.7,14.7,0.386,2.7,8.6,0.317,2.3,2.8,0.793,0.4,2.3,2.7,2,0.6,0.4,1.5,2.3,16.3,8.9,2.2,Not selected
Guard,46,26.08,4.8,10.6,0.452,1.2,3.7,0.327,1.9,2.7,0.683,1,3.4,4.4,1.4,0.8,0.5,1.4,2.6,12.7,8.2,2,Not selected
Guard,14,29.1,5.5,13.4,0.41,1.6,5,0.314,2.7,3.6,0.76,0.6,2.5,3.1,4.9,0.7,0.3,2.5,2.1,15.3,9.8,2.1,Not selected
Guard,32,29.87,5.4,12.8,0.425,1.6,5,0.314,2.3,2.9,0.815,0.7,2.3,3,2.7,1,0.4,1.2,2.1,14.8,10.1,5.8,Not selected
Guard,51,33.75,6.9,15.9,0.433,2.2,6,0.359,4.3,5,0.844,0.6,2.8,3.4,6.3,1.4,0.3,1.9,1.7,20.2,16.2,0.2,Not selected
Guard,48,33.1,8.2,19.3,0.425,2.2,6.8,0.33,3.8,4.9,0.79,0.7,3.1,3.8,3.9,1.6,0.4,2.7,2.7,22.5,14,3.3,Not selected
Guard,51,33.97,8.3,17.8,0.463,2.1,6,0.359,2.4,2.8,0.828,0.9,3,3.9,2.7,0.8,0.4,1.6,2.4,21,13.5,4.7,Not selected
Guard,48,35.37,8.3,17.9,0.466,0.1,0.8,0.175,4.7,5.7,0.822,0.8,5.4,6.2,6.3,1.1,0.5,2.7,2.3,21.5,16.3,-0.5,Not selected
Guard,52,36.8,8.2,17.1,0.479,1.7,5.1,0.332,3.1,4.1,0.755,1.2,3.7,4.9,8,1.6,0.8,3.3,2.4,21.2,17.6,3.5,Not selected
Guard,32,34.48,7.7,17.2,0.444,1.6,5.3,0.302,3.8,5.5,0.697,0.5,3.2,3.7,8.7,1.5,0.9,3.8,2.2,20.7,15.9,-4.8,Not selected
Guard,28,32.63,5.2,12.4,0.418,2,5.7,0.35,2.9,3.6,0.81,0.6,3.5,4.1,8,2.1,0.3,2.9,2.6,15.2,13.8,1.2,Not selected
Guard,31,32.7,8.7,17.6,0.495,4.1,9.9,0.418,6.2,6.7,0.918,0.6,4.7,5.3,6.5,1.6,0.1,2.9,2.5,27.7,22.8,11.4,Selected
Guard,43,34.67,8.8,18.4,0.48,1.1,3.2,0.345,6.4,7.7,0.825,0.8,3.3,4.1,5,1.1,0.3,2.3,1.8,25.2,18.6,5.8,Selected
Guard,35,36.32,9.5,21.2,0.451,4.1,10.6,0.39,9.1,10.5,0.867,0.5,4.5,5,9.1,1.8,0.5,4.4,2.7,32.3,25.5,7.3,Selected
Guard,43,32.7,8.8,18.6,0.472,2.6,6.7,0.39,3.9,4.4,0.884,0.6,3,3.6,5,1.2,0.3,2.4,2.2,24.1,17.3,5.6,Selected
Guard,47,35.93,8.6,18.6,0.459,2.4,6.5,0.368,4.1,5.3,0.782,0.8,3.5,4.3,3.7,1.1,0.5,2.2,1.9,23.6,16.2,3,Selected
Guard,42,32.07,6.4,14.7,0.437,1.5,4.2,0.352,2.9,3.8,0.764,0.7,3.5,4.2,4.9,0.9,0.2,2.5,2.3,17.3,11.8,-1.6,Selected
Guard,45,36.92,7.4,15.5,0.476,1.2,3.3,0.354,5.8,6.6,0.875,1.4,3.9,5.3,5,2,0.4,1.9,1.2,21.7,19,6.5,Selected
Guard,43,34.7,7.3,17.4,0.42,2.5,7.2,0.344,4.6,5.4,0.85,0.4,3,3.4,5.9,1.2,0.3,2.1,1.4,21.8,16.3,4,Selected
Guard,40,36.68,8.2,18.9,0.436,2.9,8,0.364,5.8,6.3,0.917,0.8,4,4.8,6.6,1,0.4,3.2,1.8,25.2,18.8,2.1,Selected
Guard,42,32.98,5.4,12.6,0.425,3,7.6,0.397,3.2,3.7,0.877,0.8,5.2,6,6.7,1.2,0.1,2.6,2.3,17,14.7,5,Selected
Guard,36,34.27,6.8,16.3,0.417,1.3,3.8,0.348,4.4,6.1,0.717,0.6,3.1,3.7,9.2,1.3,1.1,3.6,1.9,19.3,15.5,3.8,Selected
Guard,46,34.27,8,16.5,0.486,3.3,7.4,0.453,1.3,1.5,0.881,0.5,3.5,4,2.5,0.7,0.6,1.7,1.7,20.6,14.1,7.5,Selected
Guard,42,34.12,8.8,18.2,0.484,2.5,6.2,0.402,4.1,5.2,0.794,0.5,4.7,5.2,3.9,2,0.9,2.8,2.4,24.2,17.8,4.4,Selected
Guard,46,35.83,9.2,21.1,0.438,1.4,4.4,0.313,4.9,7,0.707,1.8,7.8,9.6,10.1,2,0.2,4.6,2.3,24.8,20.2,5.3,Selected
Guard,14,25.83,6.9,15.4,0.447,1.4,4.7,0.288,3.1,4.6,0.677,0.6,3.4,4,5.1,0.9,0.1,3.7,2.4,18.2,10.9,-4.7,Not selected
Guard,38,33.4,4.8,11.4,0.416,2.1,5.8,0.357,2.1,2.7,0.765,0.8,4,4.8,2.1,1.7,0.3,1.4,1.7,13.7,10.3,-1.5,Not selected
Guard,37,29.22,5.5,10.5,0.519,0.6,1.6,0.39,1.6,2.6,0.632,1.1,2.9,4,6.4,1.3,0.3,2.6,2.1,13.2,11.8,-4.9,Not selected
Guard,45,32.18,7.4,16.5,0.451,3,7.3,0.405,5.4,6,0.904,0.5,2,2.5,5.1,1,0.2,2.9,1.5,23.3,16.7,1.1,Not selected
Guard,11,30.32,4.4,10.8,0.403,2.2,5.5,0.4,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,8.6,2.3,Not selected
Guard,36,28.25,6,14.5,0.413,2.7,7,0.386,2.1,2.4,0.862,0.4,2.6,3,1.7,0.8,0.2,1.7,1.8,16.7,9.6,-2.5,Not selected
Guard,43,32.72,6.5,15.6,0.416,3.2,9.6,0.33,3.4,4.1,0.825,0.4,2,2.4,2.6,0.7,0.3,2.2,1.8,19.5,11.6,8.3,Not selected
Guard,33,27.07,5.5,12.3,0.446,1.3,3.8,0.339,2.4,2.8,0.84,0.7,2.2,2.9,5.5,0.6,0.1,2.5,2.1,14.6,10.3,-0.3,Not selected
Guard,43,31.85,7.8,17.7,0.44,1.1,3.8,0.299,3.3,3.7,0.882,0.7,2.3,3,6.6,1.1,0.1,2.6,2,20,14.2,-3.6,Not selected
Guard,37,26.35,3.2,7.9,0.405,1.7,4.4,0.389,0.4,0.6,0.682,0.4,3,3.4,1.8,1.1,1.1,1.2,1.4,8.5,6.7,1.5,Not selected
Guard,41,23.27,4.3,9.6,0.447,0.5,1.5,0.323,2,2.8,0.717,0.8,3,3.8,3.7,1,0.7,2,1.9,11,8.5,2,Not selected
Guard,37,34.45,8.3,19,0.437,2.7,7,0.382,5.7,6.5,0.887,0.4,4.1,4.5,4.7,1,0.3,3.6,3.1,25,15.9,-4.7,Not selected
