Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Center,49,35:35,7.4,13.8,0.537,1.5,3.6,0.412,3.7,4.4,0.839,2.8,9.3,12.1,2.3,0.8,1.6,2,3.4,20,17.9,5.7,Selected
Forward,44,28:26,6,13,0.459,2.2,5.6,0.401,4.4,5,0.882,2,7.4,9.4,1.7,0.7,0.5,1.6,2.1,18.6,15,-0.5,Selected
Guard,46,34:16,8,16.5,0.486,3.3,7.4,0.453,1.3,1.5,0.881,0.5,3.5,4,2.5,0.7,0.6,1.7,1.7,20.6,14.1,7.5,Selected
Forward,41,33:01,8.3,19.1,0.436,1.8,4.7,0.387,4.8,5.9,0.807,1.3,5.4,6.7,1.2,0.8,2.3,2.1,3,23.3,15.3,0.7,Selected
Center,46,33:55,8.7,17.9,0.487,0.5,1.5,0.338,4.4,5.2,0.838,3.4,5.3,8.7,1.9,0.5,1.2,1.5,2.3,22.3,17.1,3.1,Selected
Guard,42,34:07,8.8,18.2,0.484,2.5,6.2,0.402,4.1,5.2,0.794,0.5,4.7,5.2,3.9,2,0.9,2.8,2.4,24.2,17.8,4.4,Selected
Guard,46,35:50,9.2,21.1,0.438,1.4,4.4,0.313,4.9,7,0.707,1.8,7.8,9.6,10.1,2,0.2,4.6,2.3,24.8,20.2,5.3,Selected
Guard,14,25:50,6.9,15.4,0.447,1.4,4.7,0.288,3.1,4.6,0.677,0.6,3.4,4,5.1,0.9,0.1,3.7,2.4,18.2,10.9,-4.7,Not selected
Guard,38,33:24,4.8,11.4,0.416,2.1,5.8,0.357,2.1,2.7,0.765,0.8,4,4.8,2.1,1.7,0.3,1.4,1.7,13.7,10.3,-1.5,Not selected
Forward,46,14:32,1.1,3,0.365,0.8,2,0.391,0.4,0.5,0.909,0.3,1.7,2,0.6,0.5,0.2,0.5,1,3.4,2.7,-1,Not selected
Forward,44,28:41,3.5,8.1,0.429,2.1,5.7,0.369,1.1,1.4,0.79,1.6,4,5.6,1,0.5,0.4,0.8,2,10.2,8,2.3,Not selected
Guard,37,29:13,5.5,10.5,0.519,0.6,1.6,0.39,1.6,2.6,0.632,1.1,2.9,4,6.4,1.3,0.3,2.6,2.1,13.2,11.8,-4.9,Not selected
Forward,49,33:47,5.1,8.9,0.574,0.1,0.6,0.241,1.8,2.3,0.765,2.6,5,7.6,1.3,0.9,0.7,1.1,2.7,12.1,11.1,4.7,Not selected
Forward,46,23:14,5.3,9.6,0.552,0.2,0.8,0.229,2.9,4.2,0.684,1.9,5.2,7.1,2,0.5,0.7,2.3,3.3,13.6,10.1,-1.2,Not selected
Guard,45,32:11,7.4,16.5,0.451,3,7.3,0.405,5.4,6,0.904,0.5,2,2.5,5.1,1,0.2,2.9,1.5,23.3,16.7,1.1,Not selected
